==3066== NVPROF is profiling process 3066, command: ./untiled
==3066== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3066== Profiling application: ./untiled
==3066== Profiling result:
==3066== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"uncached_global_load_transaction",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"global_store_transaction",8063100,8063100,8063100
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"shared_load_replay",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"shared_store_replay",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"global_ld_mem_divergence_replays",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"global_st_mem_divergence_replays",3901500,3901500,3901500
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"local_load_transactions",12486504,12486727,12486595
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"local_store_transactions",12564623,12569922,12566709
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l1_shared_load_transactions",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l1_shared_store_transactions",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"__l1_global_load_transactions",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"__l1_global_store_transactions",8063100,8063103,8063101
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"atom_count",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gred_count",0,0,0

==3066== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l1_cache_global_hit_rate","L1 Global Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l1_cache_local_hit_rate","L1 Local Hit Rate",49.326169%,49.390970%,49.368171%
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"sm_efficiency","Multiprocessor Activity",99.942249%,99.954107%,99.946476%
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"ipc","Executed IPC",1.670714,1.676661,1.674301
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"achieved_occupancy","Achieved Occupancy",0.830846,0.832009,0.831314
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gst_requested_throughput","Requested Global Store Throughput",9.982896GB/s,10.002431GB/s,9.996337GB/s
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"sm_efficiency_instance","Multiprocessor Activity",99.942249%,99.954107%,99.946476%
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"ipc_instance","Executed IPC",1.670714,1.676661,1.674301
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"inst_replay_overhead","Instruction Replay Overhead",0.010589,0.010629,0.010604
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"shared_replay_overhead","Shared Memory Replay Overhead",0.000000,0.000000,0.000000
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"global_replay_overhead","Global Memory Replay Overhead",0.004281,0.004281,0.004281
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"tex_cache_hit_rate","Texture Cache Hit Rate",56.711214%,56.711214%,56.711214%
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"tex_cache_throughput","Texture Cache Throughput",601.322675GB/s,602.499363GB/s,602.132324GB/s
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"dram_read_throughput","Device Memory Read Throughput",43.938313GB/s,44.023305GB/s,43.996615GB/s
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"dram_write_throughput","Device Memory Write Throughput",12.696171GB/s,12.722340GB/s,12.706387GB/s
